id,created_at,text,favorite_count,retweet_count
1110263329526820864,2019-03-25 19:33:00,b'We were doomed the day Mrs May said there\xe2\x80\x99d be \xe2\x80\x98no running commentary\xe2\x80\x99 on Brexit. That was the day she decided she could do it on her own.',11,0
1110262055569932289,2019-03-25 19:27:56,"b'If there\xe2\x80\x99s a single Russian bot among this lot, it\xe2\x80\x99s signed the wrong petition by accident.  https://t.co/nRlyehdVb9'",40,11
1110261391158587393,2019-03-25 19:25:17,"b'And what I took to be a pretty sarcastic reference to the march on Saturday (ours, not Nigel\xe2\x80\x99s, obviously) https://t.co/YOHWqzjZxN'",6,0
1110260635869294593,2019-03-25 19:22:17,"b'And the head\xe2\x80\x99s gone mad, the bullying has got out of hand, there\xe2\x80\x99s porn on the computers and the school\xe2\x80\x99s on fire \nhttps://t.co/mZbbPpXBUz'",27,5
1110259899492171776,2019-03-25 19:19:22,"b""RT @MaryCreaghMP: If MPs can have 3 votes in 3 months. Why can't the people have 2 votes in 3 years? @peoplesvote_uk @campbellclaret https:\xe2\x80\xa6""",0,167
1110254933775994880,2019-03-25 18:59:38,"b'If it\xe2\x80\x99s in the \xc2\xa3600,000 bracket - as is the case with Humphrys - I\xe2\x80\x99d be inclined to say the latter  https://t.co/twLnb5tkqd'",4,1
1110254485597814785,2019-03-25 18:57:51,b'RT @RaymondSnoddy: There is something seriously wrong with the Today programme and I have listened to it for a lifetime https://t.co/5WuB82\xe2\x80\xa6',0,7
1110254286515195906,2019-03-25 18:57:04,b'RT @Andrew_Adonis: Mrs May is pulling this week\xe2\x80\x99s \xe2\x80\x98meaningful vote\xe2\x80\x99 because she says she doesn\xe2\x80\x99t have enough support. She then criticises M\xe2\x80\xa6',0,327
1110253889142640640,2019-03-25 18:55:29,b'How many careers at for instance @BBCr4today now depend upon suspending for as long as possible disbelief? https://t.co/bK05sMN4ps',64,19
1110248945618485249,2019-03-25 18:35:50,b'Lidington rather like a dull but thoroughly decent head boy trying to keep some sense of self respect in a school that\xe2\x80\x99s in special measures',60,10
