id,created_at,text,favorite_count,retweet_count
1110164921352744962,2019-03-25 13:01:57,b'Congratulations @midasIIITD students Simra Shahid @Simcyy and Nilay Shrivastava @NilayShri on getting selected for\xe2\x80\xa6 https://t.co/Irr6SfKMZI',9,1
1109888617302753280,2019-03-24 18:44:01,b'The last date for submitting a solution for the @midasIIITD internship task is 26th March midnight. We will not acc\xe2\x80\xa6 https://t.co/9BMRhXfqw3',8,3
1109884092101754880,2019-03-24 18:26:02,b'RT @IIITDelhi: @IIITDelhi invites application from Foreign Nationals/PIOs/NRIs/OCIs for admission to its https://t.co/u6kIuhIrGM and https:\xe2\x80\xa6',0,4
1109780512330022918,2019-03-24 11:34:27,b'One more week is left to submit the workshop proposal to @IEEEBigMM19. \nLooking forward to your submission. For any\xe2\x80\xa6 https://t.co/MeaYTlKGjg',4,0
1109702288136781826,2019-03-24 06:23:37,b'RT @IEEEBigMM19: We are honored to have Dr. Chang Wen Chen (Chinese University Hong Kong @CUHKofficial ) and Dr. Roger Zimmermann (National\xe2\x80\xa6',0,5
1109702192439582722,2019-03-24 06:23:14,"b'RT @IEEEBigMM19: Distinguished researchers Dr. Rajiv Ratn Shah @RatnRajiv (@IIITDelhi , @midasIIITD ), Dr. Jianquan Liu (NEC Japan) and Dr.\xe2\x80\xa6'",0,3
1108281874164658182,2019-03-20 08:19:24,b'@IEEEBigMM19 is also available on Facebook now. \nLIKE its Facebook page https://t.co/B3Q0zmmzXb  to get the regular\xe2\x80\xa6 https://t.co/z8tfXY3fHj',1,1
1108196492139999233,2019-03-20 02:40:07,"b'RT @IEEEBigMM19: BigMM 2019 : IEEE BigMM 2019 \xe2\x80\x93 Call for Workshop Proposals  \n\nhttps://t.co/I4vqf8FE6K \xe2\x80\xa6  \nWhen: Sep 11, 2019 - Sep 13, 201\xe2\x80\xa6'",0,5
1107468609914208256,2019-03-18 02:27:47,"b'BigMM 2019 : IEEE BigMM 2019 \xe2\x80\x93 Call for Workshop Proposals\n\nhttps://t.co/oUq2G0UgKN\n\nWhen: Sep 11, 2019 - Sep 13, 2\xe2\x80\xa6 https://t.co/HrZCI4APy9'",6,3
1107285980082569218,2019-03-17 14:22:04,"b'Congratulations @midasIIITD team, Rohan, Pradyumn, Ramit, @debanjanbhucs, @MADAIguy and @RatnRajiv for getting thei\xe2\x80\xa6 https://t.co/jDCOIOsl1M'",15,4
1106919781616091136,2019-03-16 14:06:56,b'We have emailed the task details to all shortlisted candidates for @midasIIITD internship. Kindly check the same.\xe2\x80\xa6 https://t.co/ku8O8HaoOe',7,0
1106847696327827456,2019-03-16 09:20:29,b'IEEE BigMM 2019 - Call for Workshop Proposals. \n\nContact @midasIIITD @RatnRajiv @debanjanbhucs if you have any quer\xe2\x80\xa6 https://t.co/EArExUYJE4',1,1
1106846308021596161,2019-03-16 09:14:58,"b'Congratulations! Arijit, Ramit, @debanjanbhucs @RatnRajiv for your @NAACLHLT  @naacl SRW 2019 paper, ""Speak Up, Fig\xe2\x80\xa6 https://t.co/pc6pbJ9Iub'",7,2
1106785474146791424,2019-03-16 05:13:14,b'We will be releasing a very interesting task to shortlisted candidates for the internship at @midasIIITD today. You\xe2\x80\xa6 https://t.co/PfjjoTNaWQ',7,2
1105878620499644416,2019-03-13 17:09:44,"b'RT @hcdiiitd: Last day to register for #PortfolioCreationinDesign Workshop Indraprastha Institute of Information Technology, Delhi on 15th\xe2\x80\xa6'",0,2
1105682747916324865,2019-03-13 04:11:24,b'@ACMMM19 @sigmm @TheOfficialACM @acmmmsys @ACMTVX @ACMICMR @euromm @Benoit_Huet @RatnRajiv @kelkalot \nWe need to cl\xe2\x80\xa6 https://t.co/ZofTZ3UcvN',1,0
1105681404845670401,2019-03-13 04:06:04,b'RT @ACMMM19: The paper deadline is approaching. 1 April abstract is due. Authors will have until 8 April to upload the final PDF version of\xe2\x80\xa6',0,13
1105524793024147458,2019-03-12 17:43:44,b'RT @kaggle: Bookmark this amazing library of image augmentations \xf0\x9f\x98\xb5 by #Kaggle Masters @AlBuslaev @creaf @viglovikov and @cvtalks | https://\xe2\x80\xa6',0,68
1105478029147553792,2019-03-12 14:37:55,b'Awesome members of our @midasIIITD team who are working on Humonics projects. Great to have you on our team.\xe2\x80\xa6 https://t.co/XEkcYO8KmW',16,4
1105120820081381378,2019-03-11 14:58:30,"b'@saanidhi @ACMMM19 Before Friday, 15th March.'",0,0
